ID,Cluster,Songs in Cluster
0BbcjurkvWrkWxKKLzcqIP,0,30
0NfjMqrzcGKVsbYZmhf4Md,0,14
0op6xwVK9pVhcxozSQPEsJ,0,26
0sDO43KAaJUWIYassTKWYf,1,14
1IKDP8o4UvpfLh0SJX2e1b,4,26
1o2bTwofazfzElA5mXGf2t,3,15
1scnlLVq91NGtsA9sh0hfw,0,27
1W2XJETQjFYdzT4GuhBHmS,0,13
2B64RN7KJte5x6iXgg02tv,0,8
2NFOUmp2wyR5CrXtKDkUkB,1,41
2Ph68VcwRfqRdnrKhY3oPS,0,24
2uhsnHgI4F2eFyvoMHY0GR,1,17
2uVP1agvV5rba3MqLQ0pzy,2,15
2VxQy0Q22k1gP542tzaMC,3,26
2YeGkAUQhmO8TCjSMbFYWf,0,8
37i9dQZF1DWSf2RDTDayIx,4,35
37i9dQZF1DWSfMe9z89s9B,0,31
37i9dQZF1DWSIO2QWRavWZ,3,7
37i9dQZF1DWSkMjlBZAZ07,1,36
37i9dQZF1DWSL7w3snV7Gw,2,22
37i9dQZF1DWSlwBojgQEc,0,30
37i9dQZF1DWSNmwgf7Nv11,0,56
37i9dQZF1DWSNpCo0vJUOm,2,20
37i9dQZF1DWSp9aN7lDNHp,4,9
37i9dQZF1DWSPYCQqDPtY7,0,20
37i9dQZF1DWSQeR9oTmnyj,3,32
37i9dQZF1DWSRc3WJklgBs,0,82
37i9dQZF1DWSRMdeGCgprt,1,10
37i9dQZF1DWSRoT7QRAibZ,0,36
37i9dQZF1DWSrVdvTl1tVY,0,33
37i9dQZF1DWSV3Tk4GO2fq,2,45
37i9dQZF1DWSvKsRPPnv5o,0,18
37i9dQZF1DWSxQLa5KoDYW,4,17
37i9dQZF1DWT2jS7NwYPV,0,61
37i9dQZF1DWT6SJaitNDax,1,38
37i9dQZF1DWT6VDwxLyl0W,0,18
37i9dQZF1DWTBNkoD4HmYd,2,21
37i9dQZF1DWTfrr8pte1rT,1,27
37i9dQZF1DWTG97QsiXg,2,18
